dataset,method,model,split,config,alpha,noise_rate,erasure_rate,runs,attained_runs,N_clean_mean,N_attack_mean,compensation_ratio_mean,compensation_ratio_std
alfworld,rank,deepseek,ID,top3,0.01,0.1,0.1,3,3,16.666666666666668,26.666666666666668,1.6666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top3,0.01,0.1,0.2,3,3,16.666666666666668,16.666666666666668,1.0,0.5
alfworld,rank,deepseek,ID,top3,0.01,0.1,0.3,3,3,16.666666666666668,23.333333333333332,1.6666666666666667,1.1547005383792515
alfworld,rank,deepseek,ID,top3,0.01,0.1,0.5,3,3,16.666666666666668,26.666666666666668,1.8333333333333333,1.0408329997330663
alfworld,rank,deepseek,ID,top3,0.01,0.1,0.7,3,3,16.666666666666668,53.333333333333336,4.0,3.5
alfworld,rank,deepseek,ID,top3,0.01,0.15,0.0,3,3,16.666666666666668,16.666666666666668,1.0,0.0
alfworld,rank,deepseek,ID,top3,0.01,0.15,0.1,3,3,16.666666666666668,20,1.3333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,top3,0.01,0.15,0.2,3,3,16.666666666666668,20,1.1666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top3,0.01,0.15,0.3,3,3,16.666666666666668,33.333333333333336,2.5,2.179449471770337
alfworld,rank,deepseek,ID,top3,0.01,0.15,0.5,3,3,16.666666666666668,33.333333333333336,2.0,0.5
alfworld,rank,deepseek,ID,top3,0.01,0.15,0.7,3,3,16.666666666666668,40,2.8333333333333335,2.0207259421636903
alfworld,rank,deepseek,ID,top3,0.01,0.2,0.0,3,3,16.666666666666668,23.333333333333332,1.5,0.5
alfworld,rank,deepseek,ID,top3,0.01,0.2,0.1,3,3,16.666666666666668,36.666666666666664,2.6666666666666665,2.0207259421636903
alfworld,rank,deepseek,ID,top3,0.01,0.2,0.2,3,3,16.666666666666668,23.333333333333332,1.5,0.5
alfworld,rank,deepseek,ID,top3,0.01,0.2,0.3,3,3,16.666666666666668,33.333333333333336,2.1666666666666665,1.0408329997330663
alfworld,rank,deepseek,ID,top3,0.01,0.2,0.5,3,3,16.666666666666668,50,3.3333333333333335,1.4433756729740643
alfworld,rank,deepseek,ID,top3,0.01,0.2,0.7,3,3,16.666666666666668,60,4.333333333333333,3.1754264805429417
alfworld,rank,deepseek,ID,top3,0.01,0.3,0.0,3,3,16.666666666666668,20,1.3333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,top3,0.01,0.3,0.1,3,3,16.666666666666668,40,2.8333333333333335,2.0207259421636903
alfworld,rank,deepseek,ID,top3,0.01,0.3,0.2,3,3,16.666666666666668,50,2.8333333333333335,1.8929694486000912
alfworld,rank,deepseek,ID,top3,0.01,0.3,0.3,3,3,16.666666666666668,26.666666666666668,1.8333333333333333,1.0408329997330663
alfworld,rank,deepseek,ID,top3,0.01,0.3,0.5,3,3,16.666666666666668,86.66666666666667,6.0,3.4641016151377544
alfworld,rank,deepseek,ID,top3,0.01,0.3,0.7,3,3,16.666666666666668,103.33333333333333,6.5,2.179449471770337
alfworld,rank,deepseek,ID,top3,0.01,0.5,0.0,3,1,16.666666666666668,200,10.0,0.0
alfworld,rank,deepseek,ID,top3,0.01,0.5,0.1,3,0,16.666666666666668,,,
alfworld,rank,deepseek,ID,top3,0.01,0.5,0.2,3,0,16.666666666666668,,,
